Response	Gene_ENSEMBL_ID	quantitative_sorting_score	visualization_score	baseline_score	Percent_appearing_in_restart_set
Doxorubicin	ENSG00000123268	15583.9	1.0	-0.2106248	1.0
Doxorubicin	ENSG00000104998	15579.47	0.99970184	-0.19619485	1.0
Doxorubicin	ENSG00000167842	15577.33	0.99955781	-0.19309367	1.0
Doxorubicin	ENSG00000105246	15491.88	0.99380666	-0.13367204	0.15
Doxorubicin	ENSG00000108587	15470.13	0.99234279	0.01489471	0.0
Doxorubicin	ENSG00000107643	15465.31	0.99201838	0.00757405	0.0
Doxorubicin	ENSG00000162434	15458.12	0.99153446	-0.0542419	0.0
Doxorubicin	ENSG00000164985	15440.81	0.99036943	-0.16446397	0.81
Doxorubicin	ENSG00000173145	15440.11	0.99032231	-0.18847865	0.99
Doxorubicin	ENSG00000140992	15434.34	0.98993397	0.18454812	0.99
Doxorubicin	ENSG00000130703	15413.21	0.98851183	0.18276261	0.93
Doxorubicin	ENSG00000101266	15401.59	0.98772975	-0.08236617	0.0
Doxorubicin	ENSG00000070808	15377.84	0.98613127	-0.01264701	0.0
Doxorubicin	ENSG00000070770	15357.38	0.98475423	-0.04168615	0.0
Doxorubicin	ENSG00000066336	15313.66	0.98181168	0.00617404	0.0
Doxorubicin	ENSG00000118260	15305.73	0.98127796	-0.11142608	0.01
Doxorubicin	ENSG00000149948	15304.8	0.98121537	-0.16957361	0.86
Doxorubicin	ENSG00000075426	15296.65	0.98066684	0.04339801	0.0
Doxorubicin	ENSG00000148660	15293.92	0.9804831	0.08345068	0.01
Doxorubicin	ENSG00000091513	15287.91	0.9800786	0.00550219	0.0
Doxorubicin	ENSG00000162302	15284.05	0.9798188	-0.04933482	0.0
Doxorubicin	ENSG00000095794	15280.56	0.97958391	-0.07932084	0.0
Doxorubicin	ENSG00000100201	15276.78	0.9793295	-0.05014035	0.0
Doxorubicin	ENSG00000100784	15269.03	0.97880789	-0.02642013	0.0
Doxorubicin	ENSG00000107223	15265.5	0.97857031	0.01954843	0.0
Doxorubicin	ENSG00000213523	15265.18	0.97854877	0.03131796	0.0
Doxorubicin	ENSG00000154727	15261.23	0.97828292	-0.12754302	0.12
Doxorubicin	ENSG00000122952	15250.46	0.97755805	-0.0070332	0.0
Doxorubicin	ENSG00000107937	15250.41	0.97755469	-0.12167505	0.04
Doxorubicin	ENSG00000134072	15241.54	0.9769577	-0.02668112	0.0
Doxorubicin	ENSG00000169679	15220.47	0.9755396	-0.04149906	0.0
Doxorubicin	ENSG00000198408	15212.7	0.97501664	-0.18249329	0.94
Doxorubicin	ENSG00000168811	15197.89	0.97401986	-0.13948689	0.29
Doxorubicin	ENSG00000179041	15192.46	0.9736544	-0.09200892	0.0
Doxorubicin	ENSG00000177606	15180.97	0.97288108	0.05819664	0.0
Doxorubicin	ENSG00000169714	15162.74	0.97165412	-0.08144298	0.0
Doxorubicin	ENSG00000183963	15160.62	0.97151143	0.11379745	0.03
Doxorubicin	ENSG00000143321	15154.42	0.97109415	-0.00434928	0.0
Doxorubicin	ENSG00000132256	15135.17	0.96979854	-0.08978793	0.0
Doxorubicin	ENSG00000137812	15123.92	0.96904136	-0.09537892	0.01
Doxorubicin	ENSG00000142871	15120.09	0.96878359	-0.07801124	0.0
Doxorubicin	ENSG00000135655	15107.7	0.96794969	-0.06056308	0.0
Doxorubicin	ENSG00000113368	15086.67	0.96653428	-0.02427444	0.0
Doxorubicin	ENSG00000185591	15086.04	0.96649188	-0.05225127	0.0
Doxorubicin	ENSG00000162896	15084.1	0.96636131	-0.06335187	0.0
Doxorubicin	ENSG00000049449	15073.58	0.96565327	-0.04172386	0.0
Doxorubicin	ENSG00000125844	15068.54	0.96531405	0.05851076	0.0
Doxorubicin	ENSG00000153113	15063.07	0.9649459	0.01071881	0.0
Doxorubicin	ENSG00000164305	15047.09	0.96387037	-0.16933719	0.89
Doxorubicin	ENSG00000099940	15046.84	0.96385355	0.02473085	0.0
Doxorubicin	ENSG00000128881	15039.42	0.96335415	-0.06466924	0.0
Doxorubicin	ENSG00000062650	15010.83	0.96142992	-0.18205132	0.94
Doxorubicin	ENSG00000074410	15010.3	0.96139425	0.17601566	0.89
Doxorubicin	ENSG00000103194	15004.28	0.96098908	0.01408291	0.0
Doxorubicin	ENSG00000171564	15002.7	0.96088274	0.02051372	0.0
Doxorubicin	ENSG00000119285	15000.69	0.96074745	-0.1755656	0.9
Doxorubicin	ENSG00000130726	14985.52	0.95972645	0.00185952	0.0
Doxorubicin	ENSG00000197111	14970.7	0.958729	-0.07510547	0.0
Doxorubicin	ENSG00000143850	14968.95	0.95861122	0.16739414	0.83
Doxorubicin	ENSG00000143748	14948.84	0.95725773	-0.04475366	0.0
Doxorubicin	ENSG00000157483	14947.92	0.95719581	0.071409	0.0
Doxorubicin	ENSG00000108592	14911.91	0.95477218	-0.09207111	0.0
Doxorubicin	ENSG00000104365	14899.8	0.95395712	-0.09613984	0.01
Doxorubicin	ENSG00000122642	14893.8	0.9535533	0.05473707	0.0
Doxorubicin	ENSG00000136718	14880.79	0.95267767	-0.03531676	0.0
Doxorubicin	ENSG00000112118	14866.24	0.95169839	-0.03894695	0.0
Doxorubicin	ENSG00000100823	14859.37	0.95123601	-0.06669741	0.0
Doxorubicin	ENSG00000257017	14850.39	0.95063162	-0.00174967	0.0
Doxorubicin	ENSG00000011304	14835.3	0.949616	-0.04482738	0.0
Doxorubicin	ENSG00000144909	14822.14	0.94873027	-0.14899687	0.48
Doxorubicin	ENSG00000004478	14819.87	0.94857749	0.09234593	0.0
Doxorubicin	ENSG00000123064	14818.35	0.94847519	-0.0280219	0.0
Doxorubicin	ENSG00000100029	14804.82	0.94756456	0.02425349	0.0
Doxorubicin	ENSG00000163938	14804.45	0.94753966	-0.02407342	0.0
Doxorubicin	ENSG00000131788	14773.51	0.94545726	-0.02072178	0.0
Doxorubicin	ENSG00000178896	14765.3	0.94490469	-0.04205169	0.0
Doxorubicin	ENSG00000118007	14764.91	0.94487845	-0.07560913	0.0
Doxorubicin	ENSG00000138442	14760.33	0.94457019	-0.06546636	0.0
Doxorubicin	ENSG00000124164	14755.06	0.9442155	0.14678664	0.49
Doxorubicin	ENSG00000188739	14752.02	0.94401089	-0.11395217	0.04
Doxorubicin	ENSG00000092201	14744.01	0.94347179	-0.08639354	0.0
Doxorubicin	ENSG00000135372	14743.15	0.9434139	-0.07048359	0.0
Doxorubicin	ENSG00000105401	14741.18	0.94328131	-0.06631327	0.0
Doxorubicin	ENSG00000130119	14717.35	0.94167745	-0.02641272	0.0
Doxorubicin	ENSG00000101972	14713.24	0.94140083	-0.02345133	0.0
Doxorubicin	ENSG00000131236	14699.73	0.94049155	-0.0016731	0.0
Doxorubicin	ENSG00000102316	14684.56	0.93947054	0.05591457	0.0
Doxorubicin	ENSG00000111615	14681.48	0.93926325	-0.09750891	0.01
Doxorubicin	ENSG00000241058	14670.41	0.93851819	0.02843807	0.0
Doxorubicin	ENSG00000133316	14654.89	0.93747363	-0.10799438	0.03
Doxorubicin	ENSG00000041802	14639.15	0.93641426	-0.00709799	0.0
Doxorubicin	ENSG00000088205	14629.62	0.93577285	-0.02864043	0.0
Doxorubicin	ENSG00000176986	14627.94	0.93565977	0.03551827	0.0
Doxorubicin	ENSG00000215305	14627.39	0.93562276	-0.00659101	0.0
Doxorubicin	ENSG00000169594	14626.25	0.93554603	-0.07467489	0.0
Doxorubicin	ENSG00000117151	14621.37	0.93521758	-0.0978116	0.0
Doxorubicin	ENSG00000160207	14621.32	0.93521422	-0.16995604	0.87
Doxorubicin	ENSG00000108055	14619.5	0.93509173	-0.06572719	0.0
Doxorubicin	ENSG00000080608	14610.07	0.93445705	-0.11667742	0.07
Doxorubicin	ENSG00000074266	14601.71	0.93389438	-0.09207204	0.0
Doxorubicin	ENSG00000171490	14600.1	0.93378602	-0.0041029	0.0
Doxorubicin	ENSG00000178105	14578.85	0.93235581	0.00228694	0.0
Doxorubicin	ENSG00000166866	14574.64	0.93207245	0.15081084	0.52
Doxorubicin	ENSG00000134121	14573.94	0.93202534	0.02755038	0.0
Doxorubicin	ENSG00000124228	14573.25	0.9319789	0.0048618	0.0
Doxorubicin	ENSG00000143549	14568.51	0.93165988	0.05668429	0.0
